serial_num	species	lib_type	srr_number	URL	title	A1	C1	G1	T1	N1	A2	C2	G2	T2	N2	A3	C3	G3	T3	N3	A4	C4	G4	T4	N4	A5	C5	G5	T5	N5	A6	C6	G6	T6	N6	A7	C7	G7	T7	N7	A8	C8	G8	T8	N8	A9	C9	G9	T9	N9	A10	C10	G10	T10	N10	A11	C11	G11	T11	N11	A12	C12	G12	T12	N12	A13	C13	G13	T13	N13	A14	C14	G14	T14	N14	A15	C15	G15	T15	N15	A16	C16	G16	T16	N16	A17	C17	G17	T17	N17	A18	C18	G18	T18	N18	A19	C19	G19	T19	N19	A20	C20	G20	T20	N20	A21	C21	G21	T21	N21	A22	C22	G22	T22	N22	A23	C23	G23	T23	N23	A24	C24	G24	T24	N24	A25	C25	G25	T25	N25	A26	C26	G26	T26	N26	A27	C27	G27	T27	N27	A28	C28	G28	T28	N28	A29	C29	G29	T29	N29	A30	C30	G30	T30	N30	A31	C31	G31	T31	N31	A32	C32	G32	T32	N32	A33	C33	G33	T33	N33	A34	C34	G34	T34	N34	A35	C35	G35	T35	N35	A36	C36	G36	T36	N36	A37	C37	G37	T37	N37	A38	C38	G38	T38	N38	A39	C39	G39	T39	N39	A40	C40	G40	T40	N40	A41	C41	G41	T41	N41	A42	C42	G42	T42	N42	A43	C43	G43	T43	N43	A44	C44	G44	T44	N44	A45	C45	G45	T45	N45	A46	C46	G46	T46	N46	A47	C47	G47	T47	N47	A48	C48	G48	T48	N48	A49	C49	G49	T49	N49	A50	C50	G50	T50	N50	
1998	Mus musculus	ATAC-seq	SRR10303812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/012/SRR10303812/SRR10303812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/012/SRR10303812/SRR10303812_2.fastq.gz	Sphingosine 1-phosphate-regulated transcriptomes in heterogenous arterial and lymphatic endothelium of the aorta	18	28	43	9	0	19	28	19	32	0	19	32	20	27	0	15	37	14	32	0	33	17	16	31	0	32	15	37	14	0	28	20	32	18	0	32	21	28	17	0	13	42	25	18	0	27	23	17	31	0	19	21	39	19	0	23	26	23	27	0	18	27	32	21	0	19	34	22	23	0	26	26	26	20	0	25	25	26	22	0	25	24	24	24	0	25	24	25	24	0	24	25	25	25	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	23	0	24	25	25	23	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	25	25	24	24	0	24	25	24	24	0	24	25	25	24	0	24	25	25	24	0	24	25	24	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	24	24	0	24	26	24	24	0	24	25	24	25	0	24	25	24	25	0	23	25	25	25	0	23	25	24	25	0	23	26	24	25	0	23	26	24	26	0	23	25	24	26	0	23	25	23	26	0	23	26	23	27	0	23	26	23	26	0	24	26	22	27	0	24	25	23	26	0	25	25	22	26	0
1544	Homo sapiens	ATAC-seq	SRR10215662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/062/SRR10215662/SRR10215662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/062/SRR10215662/SRR10215662_2.fastq.gz	Epigenomic profiling of neuroblastoma cell lines	22	25	39	12	0	21	24	18	34	0	24	26	19	29	0	17	31	14	36	0	36	13	14	35	0	36	14	31	17	0	30	19	27	23	0	34	19	25	21	0	15	37	23	22	0	27	21	16	33	0	24	20	33	21	0	27	23	20	29	0	21	24	29	24	0	22	30	20	26	0	30	23	23	22	0	28	22	22	25	0	28	21	21	27	0	28	22	21	27	0	27	21	21	28	0	28	21	21	27	0	28	22	21	27	0	28	22	21	27	0	27	21	22	28	0	28	22	21	27	0	27	22	22	27	0	27	22	21	28	0	28	22	21	27	0	27	21	21	28	0	27	21	21	28	0	28	22	21	27	0	27	22	22	27	0	27	22	21	28	0	28	22	21	27	0	27	22	21	28	0	27	22	21	28	0	28	22	21	27	0	27	22	21	28	0	28	21	21	28	0	27	22	21	28	0	27	22	21	29	0	27	22	21	28	0	27	23	21	28	0	26	22	21	29	0	26	22	21	29	0	26	23	21	29	0	26	23	21	29	0	26	22	20	30	0	27	23	19	30	0	26	22	19	30	0	27	22	19	30	0
2849	Homo sapiens	ATAC-seq	SRR8723724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR872/004/SRR8723724/SRR8723724.fastq.gz	A Unique Epigenomic Landscape Defines Human Erythropoiesis	19	25	41	12	0	18	28	21	31	0	20	30	22	26	0	14	36	16	32	0	32	16	11	39	0	32	16	35	15	0	27	22	31	19	0	31	22	28	18	0	14	41	24	20	0	24	26	19	29	0	21	20	38	19	0	23	28	22	26	0	18	26	32	22	0	19	35	22	22	0	25	26	27	20	0	25	25	26	22	0	25	25	24	24	0	25	25	24	24	0	24	24	25	24	0	25	24	24	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	25	24	0	24	25	24	25	0	24	26	25	24	0	24	24	25	24	0	24	24	25	25	0	24	25	24	24	0	24	25	25	24	0	24	25	24	25	0	24	25	25	24	0	23	25	25	25	0	25	25	24	25	0	24	25	25	24	0	24	25	25	25	0	24	25	24	25	0	24	25	24	25	0	23	25	24	26	0	23	25	24	26	0	23	26	24	25	0	23	25	24	26	0	23	25	23	27	0	23	26	23	27	0	23	25	23	27	0	24	25	22	27	0	24	25	22	27	0	24	25	23	27	0	24	25	22	27	0
4509	Mus musculus	ATAC-seq	SRR9023516	ftp.sra.ebi.ac.uk/vol1/fastq/SRR902/006/SRR9023516/SRR9023516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR902/006/SRR9023516/SRR9023516_2.fastq.gz	Context-Specific Transcription Factor Functions Regulate Epigenomic and Transcriptional Dynamics During Cardiac Reprogramming [SF.ATAC-seq]	23	23	38	12	1	22	23	17	36	0	25	25	17	31	0	18	28	12	40	0	37	12	12	37	0	40	13	28	18	0	31	17	25	24	0	35	17	23	22	0	16	35	22	25	0	28	20	15	35	0	26	18	31	23	0	28	21	18	31	0	23	22	26	27	0	25	27	18	28	0	33	21	21	23	0	31	19	20	27	0	32	19	19	29	0	31	19	19	30	0	29	19	20	30	0	30	19	18	30	0	30	20	19	29	0	30	19	19	29	0	30	19	20	29	0	30	19	19	30	0	30	19	19	30	0	30	19	19	30	0	30	20	19	29	0	30	19	19	30	0	30	20	19	30	0	30	20	19	29	0	29	19	20	30	0	30	19	19	29	0	31	19	19	30	0	29	19	20	30	0	30	19	19	30	0	29	20	20	29	0	28	19	19	31	0	30	19	19	30	0	30	19	19	30	0	29	20	19	30	0	29	20	19	30	0	28	21	19	30	0	28	20	19	31	0	28	20	19	31	0	28	20	19	30	0	27	21	19	31	0	28	20	18	32	0	28	21	18	31	0	28	20	18	32	0	28	20	17	32	0
6843	Homo sapiens	ATAC-seq	SRR8815983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/003/SRR8815983/SRR8815983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/003/SRR8815983/SRR8815983_2.fastq.gz	Genome-wide maps of chromatin state and mRNA expression patterns in leukemic cell lines	19	27	42	10	0	20	26	19	33	0	21	28	21	28	0	16	34	16	32	0	34	16	17	31	0	32	16	34	17	0	29	20	30	20	0	32	21	25	20	0	16	37	25	20	0	27	22	17	31	0	21	21	35	20	0	24	24	22	27	0	20	26	29	23	0	20	32	22	24	0	28	24	24	21	0	26	24	24	23	0	26	23	23	25	0	26	23	23	26	0	26	23	24	25	0	26	23	23	25	0	25	24	23	25	0	25	24	23	26	0	26	23	24	25	0	25	24	24	25	0	25	24	24	26	0	25	24	23	25	0	25	24	23	26	0	25	23	23	26	0	25	24	23	26	0	26	24	23	25	0	26	23	23	25	0	25	24	23	26	0	25	24	23	26	0	25	24	24	26	0	25	24	23	26	0	25	24	23	26	0	25	25	23	26	0	25	24	23	27	0	24	24	23	27	0	24	24	22	28	0	23	25	22	28	0	23	25	22	28	0	23	25	22	29	0	22	25	21	29	0	23	25	20	30	0	23	24	20	30	0	23	24	19	31	0	24	24	19	31	0	24	24	19	31	0	25	25	18	30	0
4561	Homo sapiens	ATAC-seq	SRR6307208	ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6307208/SRR6307208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6307208/SRR6307208_2.fastq.gz	Genome-wide mapping of accessible chromatin in hTert-HME1 cell line treated with control or BRCA2 siRNAs and grown with or without EGF (epithelial growth factor)	20	26	40	11	0	20	25	17	36	0	22	27	20	29	0	15	34	14	35	0	35	15	14	34	0	35	15	33	16	0	30	20	28	21	0	34	18	25	21	0	16	37	23	22	0	27	22	17	32	0	22	21	34	21	0	26	23	20	28	0	20	25	30	24	0	22	31	20	25	0	28	24	24	22	0	28	23	23	24	0	28	23	21	27	0	27	23	21	27	0	27	22	21	28	0	27	22	22	27	0	27	22	22	26	0	28	22	22	27	0	27	22	23	26	0	27	22	23	26	0	27	23	22	26	0	27	23	22	27	0	27	23	22	27	0	26	23	22	27	0	26	23	22	28	0	27	22	22	27	0	27	22	22	27	0	27	22	22	28	0	26	22	22	28	0	26	23	21	28	0	26	22	22	29	0	27	23	21	27	0	26	22	22	28	0	26	22	22	29	0	25	23	21	28	0	24	24	20	30	0	24	24	21	29	0	23	23	21	31	0	23	23	20	31	0	23	24	19	32	0	23	24	18	33	0	23	24	19	32	0	23	24	17	33	0	24	23	17	33	0	26	23	17	32	0	26	23	17	32	0
6147	Mus musculus	ATAC-seq	SRR8308142	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8308142/SRR8308142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8308142/SRR8308142_2.fastq.gz	CHD4 is essential for transcriptional repression and lineage progression in B lymphopoiesis [ATAC-seq]	20	26	41	11	0	20	27	20	32	0	21	29	21	27	0	16	34	16	32	0	33	16	17	32	0	32	16	35	15	0	28	21	30	19	0	32	20	27	19	0	14	39	25	20	0	25	24	18	30	0	21	21	37	19	0	24	26	22	26	0	19	25	32	22	0	20	32	22	23	0	26	26	26	20	0	26	24	25	23	0	26	24	24	24	0	25	24	24	25	0	25	24	25	25	0	25	24	24	25	0	25	25	24	24	0	25	24	25	24	0	25	25	25	24	0	25	24	25	24	0	24	24	25	24	0	25	25	24	25	0	25	25	24	24	0	25	25	24	25	0	24	24	24	25	0	25	25	24	25	0	24	24	24	25	0	24	25	24	25	0	25	24	24	25	0	24	24	24	25	0	24	25	24	25	0	24	25	24	25	0	24	25	24	26	0	24	24	23	26	0	24	25	24	26	0	24	24	24	26	0	23	25	23	26	0	23	25	23	27	0	22	25	23	27	0	23	25	22	28	0	22	25	22	29	0	23	25	21	29	0	23	25	21	29	0	23	25	21	29	0	24	25	20	29	0	25	25	20	29	0
5007	Homo sapiens	ATAC-seq	SRR8874499	ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/009/SRR8874499/SRR8874499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/009/SRR8874499/SRR8874499_2.fastq.gz	Reverse gene-environment interaction approach to identify variants influencing body mass index in humans	19	26	41	11	1	19	27	19	33	0	20	30	20	28	0	15	35	14	33	0	34	16	16	32	0	33	15	34	16	0	28	19	30	20	0	32	20	27	19	0	14	39	25	20	0	26	22	17	32	0	21	21	36	19	0	25	24	21	28	0	19	25	31	23	0	20	32	21	25	0	28	25	24	21	0	27	23	24	23	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	24	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	24	25	0	26	23	23	25	0	26	23	23	26	0	26	24	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	25	23	23	26	0	25	24	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	26	23	23	26	0	25	23	23	27	0	25	24	23	26	0	25	23	23	26	0	25	24	23	27	0	25	24	23	27	0	25	24	23	27	0	24	24	22	27	0	25	24	22	28	0	25	24	22	28	0	25	23	22	28	0	25	23	21	28	0
3794	Homo sapiens	ATAC-seq	SRR8247848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR824/008/SRR8247848/SRR8247848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR824/008/SRR8247848/SRR8247848_2.fastq.gz	ATAC-Sequencing of human fetal PreProB and ProB progenitors.	
6644	Homo sapiens	ATAC-seq	SRR7866929	ftp.sra.ebi.ac.uk/vol1/fastq/SRR786/009/SRR7866929/SRR7866929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR786/009/SRR7866929/SRR7866929_2.fastq.gz	Profiling of chromatin accessibility in fibroblasts, iPSCs, iPSC-derived neurons and cells overexpressing Onecut transcription factors (OC1, OC2, OC3)	
